Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2022","2022","3050","FAO TIER 1","kt","4.5654","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2022","2022","3050","FAO TIER 1","kt","0.0795","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2022","2022","3050","FAO TIER 1","kt","0.477","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","31.663","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","-50.3736","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","9.2257","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6795","Savanna fires","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6993","Fires in organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6992","Forest fires","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","69921","Fires in humid tropical forests","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6991","Agrifood Systems Waste Disposal","2022","2022","3050","FAO TIER 1","kt","2.0032","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2022","2022","3050","FAO TIER 1","kt","77.0357","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6508","Food Retail","2022","2022","3050","FAO TIER 1","kt","3.8361","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6505","Food Household Consumption","2022","2022","3050","FAO TIER 1","kt","1.0377","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2022","2022","3050","FAO TIER 1","kt","14.4633","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","22.3658","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6795","Savanna fires","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6993","Fires in organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6992","Forest fires","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","69921","Fires in humid tropical forests","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6991","Agrifood Systems Waste Disposal","2022","2022","3050","FAO TIER 1","kt","16.006","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2022","2022","3050","FAO TIER 1","kt","0.1736","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6508","Food Retail","2022","2022","3050","FAO TIER 1","kt","10.2114","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6505","Food Household Consumption","2022","2022","3050","FAO TIER 1","kt","2.3864","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2022","2022","3050","FAO TIER 1","kt","34.5789","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6821","Energy","2022","2022","3050","FAO TIER 1","kt","430.349","E","Estimated value",""
